avg_nom,avg_human,avg_harm,avg_cleanplan
-0.480,56.228,46.324,66.893
0.478,44.887,34.220,56.080
0.458,44.887,34.220,56.080
0.146,52.747,33.884,64.961
-0.420,55.982,35.268,65.127
-0.380,54.778,41.984,63.102
-0.295,55.170,42.870,67.409
-0.443,60.984,43.245,66.421
-0.469,56.023,40.244,65.914
-0.490,58.078,48.173,68.863
0.646,49.359,34.702,59.943
-0.276,55.813,39.517,64.474
-0.438,57.690,47.670,69.143
-0.494,61.292,43.550,70.866
-0.417,55.820,38.061,67.437
-0.351,60.633,42.470,71.470
-0.396,56.267,38.658,67.530
-0.328,54.086,36.310,66.016
-0.422,59.180,38.631,70.051
-0.488,61.292,43.550,70.866
-0.539,58.128,37.984,68.207
-0.358,53.428,38.866,67.144
-0.580,68.237,52.501,73.455
-0.421,56.972,38.594,66.192
-0.658,56.423,45.808,68.196
-0.627,56.423,45.808,68.196
-0.379,52.153,35.463,62.727
0.337,51.214,35.141,62.596
0.434,52.247,35.269,64.653
0.371,46.543,32.524,59.339
0.520,49.379,33.604,63.109
-0.377,56.959,46.302,70.824
0.470,49.926,34.036,60.140
0.600,49.906,33.106,60.253
0.654,50.647,35.263,62.050
0.487,51.478,33.953,63.331
-0.394,52.985,36.859,63.919
0.394,50.693,33.227,60.277
-0.372,49.366,33.158,61.623
-0.417,58.885,39.612,69.895
0.495,50.762,32.794,64.157
-0.275,50.754,33.604,63.287
-0.537,64.866,44.058,72.047
0.500,46.762,31.629,62.634
0.402,53.533,35.034,67.841
-0.148,45.275,31.515,62.327
0.384,45.780,35.476,59.567
0.534,46.628,34.988,58.096
0.534,46.628,34.988,58.096
0.581,46.628,34.988,58.096
0.581,46.628,34.988,58.096
0.521,45.196,32.959,57.911
-0.515,48.692,42.226,62.380
0.442,48.295,33.115,61.306
-0.480,58.045,43.995,68.992
-0.453,54.595,40.270,64.776
0.439,45.822,31.368,58.681
0.475,47.915,33.876,60.176
0.544,48.574,32.558,59.037
0.458,51.172,34.677,65.445
0.590,47.370,31.726,57.768
0.483,47.370,31.726,57.768
0.455,47.134,32.153,61.217
0.458,47.134,32.153,61.217
0.302,48.047,33.470,61.278
